#{"t_start": 1743946548.791229, "env_id": "None"}
r,l,t
8.4,8,26.698679
8.3,9,26.708454
9.2,9,26.71776
7.0,13,26.730749
8.3,9,26.739594
8.5,16,26.755171
8.2,10,26.765695
8.9,12,26.77758
7.5,8,26.788607
8.4,8,26.800462
9.3,8,26.809705
8.1,20,26.830202
8.4,8,26.837508
8.4,8,26.844867
9.3,8,26.852247
9.2,9,26.860529
9.3,8,26.867898
9.2,9,26.876106
9.3,8,26.883438
7.5,8,26.890744
9.1,10,26.900082
8.2,10,26.909465
9.1,10,26.918565
8.6,15,26.932292
9.3,8,26.942305
8.3,9,26.950711
9.3,8,26.958055
9.1,10,26.9693
8.7,14,26.983083
9.0,11,26.994436
9.2,9,27.003564
7.9,13,27.015154
9.1,10,27.024128
9.1,10,27.033061
9.2,9,27.041138
8.9,12,27.05195
8.4,8,27.059098
9.1,10,27.067955
9.1,10,27.077017
8.9,12,27.087605
9.3,8,27.09489
8.3,9,27.102998
8.3,9,27.111015
9.3,8,27.118191
9.1,10,27.127096
8.4,8,27.134189
9.3,8,27.141341
8.1,11,27.151237
8.4,8,27.158414
9.2,9,27.171238
9.2,9,27.179309
8.3,9,27.187398
9.2,9,27.195451
9.3,8,27.202644
9.2,9,27.210736
8.4,8,27.217918
9.0,11,27.227759
9.2,9,27.235873
7.0,13,27.247559
8.5,16,27.261988
8.4,8,27.269229
8.4,8,27.276414
8.2,10,27.285315
9.2,9,27.293293
8.4,8,27.300699
9.1,10,27.311698
9.3,8,27.320382
8.3,9,27.328445
8.2,10,27.337409
9.1,10,27.346341
9.2,9,27.354522
8.0,12,27.365196
9.1,10,27.374142
9.2,9,27.382418
9.1,10,27.391327
8.3,9,27.399325
9.1,10,27.4082
9.2,9,27.416746
9.3,8,27.42403
9.2,9,27.432219
8.0,12,27.443121
9.0,11,27.45315
9.0,11,27.463075
9.0,11,27.472965
9.2,9,27.481509
9.1,10,27.49342
7.3,10,27.504473
8.3,9,27.514444
9.0,11,27.526091
9.1,10,27.53798
6.8,15,27.553969
9.3,8,27.56251
8.3,9,27.571488
8.4,8,27.582182
8.0,12,27.593349
9.3,8,27.601747
7.5,8,27.611108
7.2,11,27.622186
8.4,8,27.630848
8.4,8,27.640946
9.1,10,27.651744
8.2,10,27.662527
8.2,10,27.676259
8.1,11,27.688049
9.2,9,27.699461
9.3,8,27.708382
8.2,10,27.719156
9.1,10,27.729727
8.2,10,27.739085
8.1,11,27.7492
8.4,8,27.756759
9.1,10,27.765963
8.4,8,27.773312
8.9,12,27.786726
9.1,10,27.797457
7.2,11,27.807932
9.1,10,27.81769
9.0,11,27.830335
8.2,10,27.839953
8.2,10,27.85551
8.3,9,27.873967
8.1,11,27.885187
8.1,11,27.897274
8.9,12,27.912341
8.2,10,27.923751
9.0,11,27.938099
8.3,9,27.947711
8.3,9,27.958821
9.3,8,27.968846
9.2,9,27.978817
9.3,8,27.987468
9.3,8,27.997737
9.3,8,28.006493
9.0,11,28.01844
